player_id,first_name,last_name,birth_date,country_code
111,Ernests,Gulbis,1998-01-01,RUS
112,Florian,Mayer,1998-01-01,GER
113,Mikhail,Youzhny,1998-01-01,RUS
114,Jurgen,Melzer,1998-01-01,GER
115,Gilles,Muller,1998-01-01,GER
116,Martin,Klizan,1998-01-07,GER
117,Dmitry,Tursunov,1998-01-01,RUS
118,Marinko,Matosevic,1998-01-01,GER
119,Bradley,Klahn,1998-01-01,USA
120,Igor,Sijsling,1998-01-01,SRB
121,Dudi,Sela,1998-01-01,IT
122,Donald,Young,1998-01-01,USA
123,Ryan,Harrison,1998-01-01,USA
124,Brian,Baker,1998-01-01,GER
125,Michael,Mmoh,1998-01-01,GER
126,Radek,Stepanek,1998-01-01,CZE
127,Tommy,Robredo,1998-01-01,ESP
128,Jan,Janek,1998-01-01,POL
